"solar_year","province_code","province_name_eng","district_code","district_name_eng"
1383,"01","Kabul","0101","Provincial center (Kabul )"
1383,"01","Kabul","0102","Dah sabz"
1383,"01","Kabul","0103","Mirbachakot"
1383,"01","Kabul","0104","Kalakan"
1383,"01","Kabul","0105","Qarabagh"
1383,"01","Kabul","0106","Farza"
1383,"01","Kabul","0107","Estalef"
1383,"01","Kabul","0108","Guldara"
1383,"01","Kabul","0109","Shaker Darah"
1383,"01","Kabul","0110","Paghman"
1383,"01","Kabul","0111","Char Asiab"
1383,"01","Kabul","0112","Musahi"
1383,"01","Kabul","0113","Khak –i- jabar"
1383,"01","Kabul","0114","Bagrami"
1383,"01","Kabul","0115","Surubi"
1383,"02","Kapisa","0201","Provincial Center (Mahmood Raqi)"
1383,"02","Kapisa","0202","Duwum-i- Kohistan"
1383,"02","Kapisa","0203","Kohistan"
1383,"02","Kapisa","0204","Najrab"
1383,"02","Kapisa","0205","Koh Band"
1383,"02","Kapisa","0206","Tagab"
1383,"02","Kapisa","0207","Alasai"
1383,"03","Parwan","0301","Provincial Center (Charikar)"
1383,"03","Parwan","0302","Saidkheil"
1383,"03","Parwan","0303","Jabull saraj"
1383,"03","Parwan","0304","Salang"
1383,"03","Parwan","0305","Shinwari"
1383,"03","Parwan","0306","Ghurband"
1383,"03","Parwan","0307","Bagram"
1383,"03","Parwan","0308","Shikh  Ali"
1383,"03","Parwan","0309","Surkhi  parsa"
1383,"03","Parwan","0310","Kohi Safi"
1383,"04","Wardak","0401","Provincial center (Maidan Shaher)"
1383,"04","Wardak","0402","Jalriz"
1383,"04","Wardak","0403","Hesai awal-i-Behsud"
1383,"04","Wardak","0404","Markaz-i-behsud"
1383,"04","Wardak","0405","Daimirdad"
1383,"04","Wardak","0406","Jaghatoo"
1383,"04","Wardak","0407","Chake  Wardak"
1383,"04","Wardak","0408","Said Abad"
1383,"04","Wardak","0409","Nerkh"
1383,"05","Logar","0501","Provincial Center (Pull Alam)"
1383,"05","Logar","0502","Baraki Barak"
1383,"05","Logar","0503","Charkh"
1383,"05","Logar","0504","khushi"
1383,"05","Logar","0505","Mohamad Agha"
1383,"05","Logar","0506","Kharwar"
1383,"05","Logar","0507","Azra"
1383,"06","Ghazni","0601","Provincial Center (Ghazni)"
1383,"06","Ghazni","0602","Deh Yak"
1383,"06","Ghazni","0603","Zanakhan"
1383,"06","Ghazni","0604","Khawaja Umery"
1383,"06","Ghazni","0605","Rashidan"
1383,"06","Ghazni","0606","Swhahid M.Walli Khogiani"
1383,"06","Ghazni","0607","Jaghatoo"
1383,"06","Ghazni","0608","Waghaz"
1383,"06","Ghazni","0609","Qarabagh"
1383,"06","Ghazni","0610","Giro"
1383,"06","Ghazni","0611","Andar"
1383,"06","Ghazni","0612","Nawur"
1383,"06","Ghazni","0613","Ajristan"
1383,"06","Ghazni","0614","Malestan"
1383,"06","Ghazni","0615","Jaghuri"
1383,"06","Ghazni","0616","Muqur"
1383,"06","Ghazni","0617","Abband"
1383,"06","Ghazni","0618","Gellan"
1383,"06","Ghazni","0619","Nawa"
1383,"07","Paktika","0701","Provincial Center (Sharan)"
1383,"07","Paktika","0702","Zarghoon Shaher"
1383,"07","Paktika","0703","Dela"
1383,"07","Paktika","0704","Wazakhwa"
1383,"07","Paktika","0705","Warmamai"
1383,"07","Paktika","0706","Gomal"
1383,"07","Paktika","0707","Omneh"
1383,"07","Paktika","0708","Surubi"
1383,"07","Paktika","0709","Barmal"
1383,"07","Paktika","0710","Gayan"
1383,"07","Paktika","0711","Urgoon"
1383,"07","Paktika","0712","zirok"
1383,"07","Paktika","0713","Nika"
1383,"07","Paktika","0714","Sar Rawza"
1383,"07","Paktika","0715","Mata Khan"
1383,"07","Paktika","0716","Jani Kheil"
1383,"07","Paktika","0717","Turwu"
1383,"07","Paktika","0718","Yosef Kheil"
1383,"07","Paktika","0719","Yahya Kheil"
1383,"08","Paktya","0801","Provincial Center (Gardeiz)"
1383,"08","Paktya","0802","Said Karam"
1383,"08","Paktya","0803","Zurmat"
1383,"08","Paktya","0804","Shwak"
1383,"08","Paktya","0805","Waza Zadram"
1383,"08","Paktya","0806","Laja Ahmad kheil"
1383,"08","Paktya","0807","Janikheil"
1383,"08","Paktya","0808","Dand Patan"
1383,"08","Paktya","0809","Chamkani"
1383,"08","Paktya","0810","Jaji"
1383,"08","Paktya","0811","Ahmad Abad"
1383,"09","Khost","0901","Provincial center (Khost)"
1383,"09","Khost","0902","Teerzayi"
1383,"09","Khost","0903","Bak"
1383,"09","Khost","0904","Jaji maidan"
1383,"09","Khost","0905","Sabari"
1383,"09","Khost","0906","Musa kheil"
1383,"09","Khost","0907","Qalanderi"
1383,"09","Khost","0908","Nadershakot"
1383,"09","Khost","0909","Ismayel khel"
1383,"09","Khost","0910","Shemal"
1383,"09","Khost","0911","Spera"
1383,"09","Khost","0912","Tanai"
1383,"09","Khost","0913","Gurbuz"
1383,"10","Nangarhar","1001","Province center (Jalalabad)"
1383,"10","Nangarhar","1002","Behsood"
1383,"10","Nangarhar","1003","Surkhrod"
1383,"10","Nangarhar","1004","Chaparhar"
1383,"10","Nangarhar","1005","Rodat"
1383,"10","Nangarhar","1006","Kama"
1383,"10","Nangarhar","1007","Kooz Konar"
1383,"10","Nangarhar","1008","Darah-I – Noor"
1383,"10","Nangarhar","1009","Sheirzad"
1383,"10","Nangarhar","1010","Hesarak"
1383,"10","Nangarhar","1011","Khogyani"
1383,"10","Nangarhar","1012","Pacher  wa  Agam"
1383,"10","Nangarhar","1013","Dahbala"
1383,"10","Nangarhar","1014","Kott"
1383,"10","Nangarhar","1015","Achin"
1383,"10","Nangarhar","1016","Nazyan"
1383,"10","Nangarhar","1017","Dur  Baba"
