district_name_eng_1398,district_code_1398,district_name_eng_1397,district_code_1397,match_97_98,district_name_eng_1396,district_code_1396,match_96_98,district_name_eng_1395,district_code_1395,match_95_98,district_name_eng_1394,district_code_1394,match_94_98,district_name_eng_1393,district_code_1393,match_93_98,district_name_eng_1392,district_code_1392,match_92_98,district_name_eng_1391,district_code_1391,match_91_98,district_name_eng_1390,district_code_1390,match_90_98,district_name_eng_1389,district_code_1389,match_89_98,district_name_eng_1388,district_code_1388,match_88_98,district_name_eng_1387,district_code_1387,match_87_98,district_name_eng_1386,district_code_1386,match_86_98,district_name_eng_1385,district_code_1385,match_85_98,district_name_eng_1384,district_code_1384,match_84_98,district_name_eng_1383,district_code_1383,match_83_98
provincial Capital (Kabul ),101,province Center (Kabul ),101,101,province Center (Kabul ),101,101,province Center (Kabul ),101,101,province Center (Kabul ),101,101,province Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101,Kabul Center (Kabul ),101,101
Paghman,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,102,102,Paghman,110,110,Paghman,110,110,Paghman,110,110,Paghman,110,110,Paghman,110,110
Chahar Asyab,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,103,103,Chahar Asyab,111,111,Chahar Asyab,111,111,Chahar Asyab,111,111,Chahar Asyab,111,111,Chahar Asyab,111,111
Bagrami,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,104,104,Bagrami,114,114,Bagrami,114,114,Bagrami,114,114,Bagrami,114,114,Bagrami,114,114
DehSabz,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,105,105,DehSabz,102,102,DehSabz,102,102,DehSabz,102,102,DehSabz,102,102,DehSabz,102,102
Shakar Dara,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,106,106,Shakar Dara,109,109,Shakar Dara,109,109,Shakar Dara,109,109,Shakar Dara,109,109,Shakar Dara,109,109
Musahi,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,107,107,Musahi,112,112,Musahi,112,112,Musahi,112,112,Musahi,112,112,Musahi,112,112
Mir Bacha kot,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,108,108,Mir Bacha kot,103,103,Mir Bacha kot,103,103,Mir Bacha kot,103,103,Mir Bacha kot,103,103,Mir Bacha kot,103,103
Khak-e-Jabar,109,Khak-e-Jabar,109,109,Khak-e-Jabar,109,109,Khak-e-Jabar,109,109,Khak-e-Jabar,109,109,Khak-e-Jabar,109,109,Khak-e-Jabar,109,109,Khak-e-Jabar,109,109,Khak –i-Jabar,109,109,Khak –i-Jabar,109,109,Khak –i-Jabar,109,109,Khak –i-Jabar,113,113,Khak –i-Jabar,113,113,Khak –i-Jabar,113,113,Khak –i-Jabar,113,113,Khak –i-Jabar,113,113
Kalakan,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,110,110,Kalakan,104,104,Kalakan,104,104,Kalakan,104,104,Kalakan,104,104,Kalakan,104,104
Guldara,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,111,111,Guldara,108,108,Guldara,108,108,Guldara,108,108,Guldara,108,108,Guldara,108,108
Farza,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,112,112,Farza,106,106,Farza,106,106,Farza,106,106,Farza,106,106,Farza,106,106
Estalef,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,113,113,Estalef,107,107,Estalef,107,107,Estalef,107,107,Estalef,107,107,Estalef,107,107
Qara Bagh,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,114,114,Qara Bagh,105,105,Qara Bagh,105,105,Qara Bagh,105,105,Qara Bagh,105,105,Qara Bagh,105,105
Surubi,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115,Surubi,115,115
provincial Capital (Mahmood Raqi),201,province Center (Mahmood Raqi),201,201,province Center (Mahmood Raqi),201,201,province Center (Mahmood Raqi),201,201,province Center (Mahmood Raqi),201,201,province Center (Mahmood Raqi),201,201,Kapisa Center (Mahmood Raqi),201,201,Kapisa Center (Mahmood Raqi),201,201,Kapisa Center (Mahmood Raqi),201,201,Kapisa Center (Mahmood Raqi),201,201,Kapisa Center (Mahmood Raqi),201,201,Kapisa Center(Mahmood Raqi),201,201,Kapisa Center        (Mahmood Raqi),201,201,Provincial Center (Mahmood Raqi),201,201,Provincial Center (Mahmood Raqi),201,201,Provincial Center (Mahmood Raqi),201,201
