district_name_eng_1398,district_code_1398,district_name_eng_1397,district_code_1397,match_97_98,district_name_eng_1396,district_code_1396,match_96_98,district_name_eng_1395,district_code_1395,match_95_98,district_name_eng_1394,district_code_1394,match_94_98,district_name_eng_1393,district_code_1393,match_93_98,district_name_eng_1392,district_code_1392,match_92_98,district_name_eng_1391,district_code_1391,match_91_98,district_name_eng_1390,district_code_1390,match_90_98,district_name_eng_1389,district_code_1389,match_89_98,district_name_eng_1388,district_code_1388,match_88_98,district_name_eng_1387,district_code_1387,match_87_98,district_name_eng_1386,district_code_1386,match_86_98,district_name_eng_1385,district_code_1385,match_85_98,district_name_eng_1384,district_code_1384,match_84_98,district_name_eng_1383,district_code_1383,match_83_98
Hissa-e-Duwumi Kohistan,202,Hissa-e-Duwumi Kohistan,202,202,Hissa-e-Duwumi Kohistan,202,202,Hissa-e-Duwumi Kohistan,202,202,Hissa-e-Duwumi Kohistan,202,202,Hissa-e-Duwumi Kohistan,202,202,Hissa-e-Duwumi Kohistan,202,202,Hissa-e-Duwumi Kohistan,202,202,Hissa-i-Duwumi Kohistan,202,202,Hissa-i-Duwumi Kohistan,202,202,Hissa-i-Duwumi Kohistan,202,202,Hissa-i-Duwumi Kohistan,202,202,Hissa-i-Duwumi Kohistan,202,202,Duwum-i- Kohistan,207,207,Duwum-i- Kohistan,202,202,Duwum-i- Kohistan,202,202
Koh Band,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,203,203,Koh Band,205,205,Koh Band,205,205,Koh Band,203,203,Koh Band,205,205,Koh Band,205,205
Hissa-e-Awali Kohistan,204,Hissa-e-Awali Kohistan,204,204,Hissa-e-Awali Kohistan,204,204,Hissa-e-Awali Kohistan,204,204,Hissa-e-Awali Kohistan,204,204,Hissa-e-Awali Kohistan,204,204,Hissa-e-Awali Kohistan,204,204,Hissa-e-Awali Kohistan,204,204,Hissa-i-Awali Kohistan,204,204,Hissa-i-Awali Kohistan,204,204,Hissa-i-Awali Kohistan,204,204,Hissa-i-Awali Kohistan,203,203,Hissa-i-Awali Kohistan,203,203,Kohistan,202,202,Kohistan,203,203,Kohistan,203,203
Nijrab,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,205,205,Nijrab,204,204,Nijrab,204,204,Najrab,204,204,Najrab,204,204,Najrab,204,204
Tagab,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,206,206,Tagab,205,205,Tagab,206,206,Tagab,206,206
Alasai,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,207,207,Alasai,206,206,Alasai,207,207,Alasai,207,207
provincial Capital (Faiz Abad),1701,province center (Faiz Abad),1701,1701,province center (Faiz Abad),1701,1701,province center (Faiz Abad),1701,1701,province center (Faiz Abad),1701,1701,province center (Faiz Abad),1701,1701,Badakhshan center (Faiz Abad),1701,1701,Badakhshan center(Faiz Abad),1701,1701,Badakhshan center(Faiz Abad),1701,1701,Badakhshan center(Faiz Abad),1701,1701,Badakhshan center(Faiz Abad),1701,1701,Badakhshan center (Faiz Abad),1401,1401,Badakhshan center (Faiz Abad),1401,1401,Badakhshan center (Faiz Abad),1401,1401,Badakhshan center (Faiz Abad),1401,1401,Badakhshan center (Faiz Abad),1401,1401
Argo,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1702,1702,Argo,1403,1403,Argo,1403,1403,Argo,1403,1403,Argo,1403,1403,Argo,1403,1403
Arghanj Khwah,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1703,1703,Arghanj Khwah,1421,1421,Arghanj Khwah,1421,1421,Arghanj Khwah,1421,1421,Arghanj Khwah,1421,1421,Arghanj Khwah,1421,1421
Yaftal-e-Sufla,1704,Yaftal-e-Sufla,1704,1704,Yaftal-e-Sufla,1704,1704,Yaftal-e-Sufla,1704,1704,Yaftal-e-Sufla,1704,1704,Yaftal-e-Sufla,1704,1704,Yaftal-e-Sufla,1704,1704,Yaftal-e-Sufla,1704,1704,Yaftal- i-Sufla,1704,1704,Yaftal- i-Sufla,1704,1704,Yaftal- i-Sufla,1704,1704,Yaftal- i-Sufla,1402,1402,Yaftal- i-Sufla,1402,1402,Yaftal- i-Sufla,1402,1402,Yaftal- i-Sufla,1402,1402,Yaftal- i-Sufla,1402,1402
Khash,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1705,1705,Khash,1405,1405,Khash,1405,1405,Khash,1405,1405,Khash,1405,1405,Khash,1405,1405
Baharak,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1706,1706,Baharak,1408,1408,Baharak,1408,1408,Baharak,1408,1408,Baharak,1408,1408,Baharak,1408,1408
Darayim,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1707,1707,Darayim,1404,1404,Darayim,1404,1404,Darayim,1404,1404,Darayim,1404,1404,Darayim,1404,1404
Kohistan,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1708,1708,Kohistan,1410,1410,Kohistan,1410,1410,Kohistan,1410,1410,Kohistan,1410,1410,Kohistan,1410,1410
Yawan,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1709,1709,Yawan,1411,1411,Yawan,1411,1411,Yawan,1411,1411,Yawan,1411,1411,Yawan,1411,1411
Jurm,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1710,1710,Jurm,1406,1406,Jurm,1406,1406,Jurm,1406,1406,Jurm,1406,1406,Jurm,1406,1406
Tashkan,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1711,1711,Tashkan,1415,1415,Tashkan,1415,1415,Tashkan,1415,1415,Tashkan,1415,1415,Tashkan,1415,1415
Shuhada,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1712,1712,Shuhada,1409,1409,Shuhada,1409,1409,Shuhada,1409,1409,Shuhada,1409,1409,Shuhada,1409,1409
Shahri Buzurg,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1713,1713,Shahri Buzurg,1412,1412,Shahri Buzurg,1412,1412,Shahri Buzurg,1412,1412,Shahri Buzurg,1412,1412,Shahri Buzurg,1412,1412
Raghistan,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1714,1714,Raghistan,1422,1422,Raghistan,1422,1422,Raghistan,1422,1422,Raghistan,1422,1422,Raghistan,1422,1422
Kishm,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1715,1715,Kishm,1413,1413,Kishm,1413,1413,Kishm,1413,1413,Kishm,1413,1413,Kishm,1413,1413
Wardooj,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1716,1716,Wardooj,1407,1407,Wardooj,1407,1407,Wardooj,1407,1407,Wardooj,1407,1407,Wardooj,1407,1407
Tagab,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1717,1717,Tagab,1414,1414,Tagab,1414,1414,Tagab,1414,1414,Tagab,1414,1414,Tagab,1414,1414
Yamgan(Girwan),1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan(Girwan),1718,1718,Yamgan,1425,1425,Yamgan,1425,1425,Yamgan,1425,1425,Yamgan,1425,1425,Yamgan,1425,1425
Shighnan,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1719,1719,Shighnan,1420,1420,Shighnan,1420,1420,Shighnan,1420,1420,Shighnan,1420,1420,Shighnan,1420,1420
Khwahan,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1720,1720,Khwahan,1423,1423,Khwahan,1423,1423,Khwahan,1423,1423,Khwahan,1423,1423,Khwahan,1423,1423
Kufab,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1721,1721,Kufab,1424,1424,Kufab,1424,1424,Kufab,1424,1424,Kufab,1424,1424,Kufab,1424,1424
Darwaz-e- Payin (Mamay),1722,Darwaz-e- Payin (Mamay),1722,1722,Darwaz-e- Payin (Mamay),1722,1722,Darwaz-e- Payin (Mamay),1722,1722,Darwaz-e- Payin (Mamay),1722,1722,Darwaz-e- Payin (Mamay),1722,1722,Darwaz-e- Payin (Mamay),1722,1722,Darwaz-e- Payin(Mamay),1722,1722,Darwaz-i- Payin(Mamay),1722,1722,Darwaz-i- Payin(Mamay),1722,1722,Darwaz-i- Payin(Mamay),1722,1722,Darwaz-i- Payin(Mamay),1427,1427,Darwaz-i- Payin(Mamay),1427,1427,Darwaz-i- Payin(Mamay),1427,1427,Darwaz-i- Payin(Mamay),1427,1427,Darwaz-i- Payin(Mamay),1427,1427
Eshkashim,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1723,1723,Eshkashim,1418,1418,Eshkashim,1418,1418,Eshkashim,1418,1418,Eshkashim,1418,1418,Eshkashim,1418,1418
Shiki,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1724,1724,Shiki,1428,1428,Shiki,1428,1428,Shiki,1428,1428,Shiki,1428,1428,Shiki,1428,1428
Zebak,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1725,1725,Zebak,1417,1417,Zebak,1417,1417,Zebak,1417,1417,Zebak,1417,1417,Zebak,1417,1417
Kiran Wa Menjan,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran Wa Menjan,1726,1726,Kiran WaMenjan,1416,1416,Kiran WaMenjan,1416,1416,Kiran WaMenjan,1416,1416,Kiran WaMenjan,1416,1416,Kiran WaMenjan,1416,1416
Darwaz-e- Bala ( Nesay),1727,Darwaz-e- Bala ( Nesay),1727,1727,Darwaz-e- Bala ( Nesay),1727,1727,Darwaz-e- Bala ( Nesay),1727,1727,Darwaz-e- Bala ( Nesay),1727,1727,Darwaz-e- Bala ( Nesay),1727,1727,Darwaz-e- Bala ( Nesay),1727,1727,Darwaz-e- Bala ( Nesay),1727,1727,Darwaz- i- Bala ( Nesay),1727,1727,Darwaz- i- Bala ( Nesay),1727,1727,Darwaz- i- Bala ( Nesay),1727,1727,Darwaz- i- Bala( Nesay),1426,1426,Darwaz- i- Bala( Nesay),1426,1426,Darwaz- i- Bala( Nesay),1426,1426,Darwaz- i- Bala( Nesay),1426,1426,Darwaz- i- Bala( Nesay),1426,1426
Wakhan,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1728,1728,Wakhan,1419,1419,Wakhan,1419,1419,Wakhan,1419,1419,Wakhan,1419,1419,Wakhan,1419,1419
Provincial center (Qala-i- Now),2301,Provincial center (Qala-i- Now),2301,2301,Provincial center (Qala-i- Now),2301,2301,Badghis Center (Qala-i- Now),2301,2301,Badghis Center(Qala-i- Now),2301,2301,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101,Badghis Center  (Qala-i- Now),3101,3101
Muqur,2302,Muqur,2302,2302,Muqur,2302,2302,Muqur,2302,2302,Muqur,2302,2302,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103,Muqur,3103,3103
Ab-Kamari,2303,Ab-Kamari,2303,2303,Ab-Kamari,2303,2303,Ab Kamari,2303,2303,Ab Kamari,2303,2303,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102,Ab Kamari,3102,3102
Qadis,2304,Qadis,2304,2304,Qadis,2304,2304,Qadis,2304,2304,Qadis,2304,2304,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104,Qadis,3104,3104
Jawand,2305,Jawand,2305,2305,Jawand,2305,2305,Jawand,2305,2305,Jawand,2305,2305,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106,Jawand,3106,3106
Ghormach,2306,Ghormach,2306,2306,Ghormach,2306,2306,Ghormach,2306,2306,Ghormach,2306,2306,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107,Ghormach,3107,3107
Murghab,2307,Murghab,2307,2307,Murghab,2307,2307,Murghab            (Bala Murghab),2307,2307,Murghab(Bala Murghab),2307,2307,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105,Murghab (Bala Murghab),3105,3105
provincial Capital (Pul-i-Khumri),901,province Center (Pul-i-Khumri),901,901,province Center (Pul-i-Khumri),901,901,province Center (Pul-i-Khumri),901,901,province Center (Pul-i-Khumri),901,901,province Center (Pul-i-Khumri),901,901,Baghlan Center (Pul-i-Khumri),901,901,Baghlan Center(Pul-i-Khumri),901,901,Baghlan Center(Pul-i-Khumri),901,901,Baghlan Center(Pul-i-Khumri),901,901,Baghlan Center(Pul-i-Khumri),901,901,Baghlan Center(Pul -i-Khumri),1601,1601,Baghlan Center(Pul -i-Khumri),1601,1601,Baghlan Center(Pul -i-Khumri),1601,1601,Baghlan Center(Pul -i-Khumri),1601,1601,Baghlan Center(Pul -i-Khumri),1601,1601
Dahana-e-Ghuri,902,Dahana-e-Ghuri,902,902,Dahana-e-Ghuri,902,902,Dahana-e-Ghuri,902,902,Dahana-e-Ghuri,902,902,Dahana-e-Ghuri,902,902,Dahana-e-Ghuri,902,902,Dahana-e-Ghuri,902,902,Dahana-i-Ghuri,902,902,Dahana-i-Ghuri,902,902,Dahana-i-Ghuri,902,902,Dahana-i-Ghuri,1603,1603,Dahana-i-Ghuri,1603,1603,Dahana-i-Ghuri,1603,1603,Dahana-i-Ghuri,1603,1603,Dahana-i-Ghuri,1603,1603
Dushi,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,903,903,Dushi,1604,1604,Dushi,1604,1604,Dushi,1604,1604,Dushi,1604,1604,Dushi,1604,1604
Nahreen,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,904,904,Nahreen,1607,1607,Nahreen,1607,1607,Nahreen,1607,1607,Nahreen,1607,1607,Nahreen,1607,1607
Baghlan-e- Jadeed,905,Baghlan-e- Jadeed,905,905,Baghlan-e- Jadeed,905,905,Baghlan-e- Jadeed,905,905,Baghlan-e- Jadeed,905,905,Baghlan-e- Jadeed,905,905,Baghlan-e- Jadeed,905,905,Baghlan-e- Jadeed,905,905,Baghlan-i-  Jadeed,905,905,Baghlan-i-  Jadeed,905,905,Baghlan-i-  Jadeed,905,905,Baghlan-i-Jadeed,1602,1602,Baghlan-i-Jadeed,1602,1602,Baghlan-i-Jadeed,1602,1602,Baghlan-i-Jadeed,1602,1602,Baghlan-i-Jadeed,1602,1602
Khinjan,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,906,906,Khinjan,1605,1605,Khinjan,1605,1605,Khinjan,1605,1605,Khinjan,1605,1605,Khinjan,1605,1605
